geom,value,id
POINT(-0.9838871373 51.4770818403),820000,127680
POINT(-1.1335460779 51.8921721345),580000,128844
POINT(-0.979379188 51.5197002165),850000,128924
POINT(-0.9952457616 51.5322278575),1635500,128990
POINT(-1.4166418879 51.5880101826),750000,129803
POINT(-1.3512953494 52.0562572816),406000,130811
POINT(-1.6557614462 51.6031070408),505000,132657
POINT(-1.6525019067 51.8672635789),537500,133270
POINT(-1.5053833881 51.6811476611),1850000,139738
POINT(-1.4755471145 51.7959993486),802500,147336
POINT(-1.1148916628 51.6236024551),635000,148247
POINT(-1.3748683547 51.7803482266),445000,152650
POINT(-1.2240054273 51.725753454),210000,168158
POINT(-0.9939353358 51.4568913873),176000,168462
POINT(-1.4887985416 51.7910586625),156667,173289
POINT(-1.2659393505 51.6745103727),170000,177286
POINT(-1.2945121298 51.7463921798),255000,180058
POINT(-1.2326412451 51.6054850214),152000,183565
POINT(-1.2834242874 51.6598180679),215000,194351
POINT(-1.4521775054 51.5749636411),585000,202883
POINT(-0.9091424615 51.5355324707),384000,202940
POINT(-1.2826086497 51.6693621415),235000,203029
POINT(-1.2274865317 51.7160567507),108750,203300
POINT(-1.2434104606 51.6065439019),184000,211000
POINT(-1.2849573525 51.6680546842),337500,214561
POINT(-1.4709001507 51.7792277222),140000,219649
POINT(-0.9804327065 51.7458414921),235000,227585
POINT(-1.3327373933 52.0635171559),95000,233634
POINT(-1.1108395418 51.6210182337),271000,240329
POINT(-1.2724853619 51.7578209669),338500,243101
POINT(-0.9609424536 51.4564414757),439000,244362
POINT(-1.2348836077 51.7460373939),185000,251314
POINT(-1.1922638206 51.7146779402),180000,251362
POINT(-1.3315507733 52.0530990303),120000,254657
POINT(-0.9580234332 51.4601202594),277000,260185
POINT(-1.594174046 51.6458185867),197500,264637
POINT(-1.3262303161 52.0606839737),180000,265318
POINT(-1.2812003456 51.6715474832),292500,279546
POINT(-0.9861747458 51.4537582119),225000,280364
POINT(-1.2852675058 51.8282836068),180000,283083
POINT(-1.1465306039 51.8925368186),123000,283679
POINT(-1.3383288726 52.064196034),145000,286292
POINT(-1.481183628 51.7824655044),80000,286320
POINT(-1.2475469221 51.9305216052),31500000,292069
POINT(-1.2618841686 51.7646603302),292000,293116
POINT(-0.9682587309 51.7410415786),680000,297612
POINT(-1.208003788 51.7366881269),241000,301183
POINT(-0.8941070787 51.5104477962),4750000,306704
POINT(-1.2861492105 51.7136399376),5475000,312729
POINT(-1.415200025 51.6350740403),950000,313975
POINT(-1.2810489681 51.6710610142),195000,314082
POINT(-1.4841515635 52.0114829486),750000,318146
